iter	Passed	Remaining
739	4038	1419
740	4043	1413
741	4047	1407
742	4050	1401
743	4055	1395
744	4059	1389
745	4063	1383
746	4068	1377
747	4072	1372
748	4077	1366
749	4081	1360
750	4086	1354
751	4091	1349
752	4095	1343
753	4100	1337
754	4104	1331
755	4108	1326
756	4112	1320
757	4116	1314
758	4120	1308
759	4125	1302
760	4130	1297
761	4133	1291
762	4137	1285
763	4142	1279
764	4146	1273
765	4150	1267
766	4154	1262
767	4158	1256
768	4163	1250
769	4167	1244
770	4171	1239
771	4175	1233
772	4180	1227
773	4187	1222
774	4192	1217
775	4196	1211
776	4200	1205
777	4205	1199
778	4209	1194
779	4213	1188
780	4217	1182
781	4221	1176
782	4226	1171
783	4230	1165
784	4233	1159
785	4238	1153
786	4242	1148
787	4246	1142
788	4251	1137
789	4256	1131
790	4260	1125
791	4265	1120
792	4271	1114
793	4275	1109
794	4280	1103
795	4283	1097
796	4288	1092
797	4294	1087
798	4299	1081
799	4304	1076
800	4309	1070
801	4327	1068
802	4331	1062
803	4336	1057
804	4340	1051
805	4345	1045
806	4349	1040
807	4354	1034
808	4358	1029
809	4362	1023
810	4368	1018
811	4373	1012
812	4379	1007
813	4384	1001
814	4389	996
815	4394	990
816	4400	985
817	4404	979
818	4409	974
819	4414	969
820	4418	963
821	4422	957
822	4426	952
823	4432	946
824	4437	941
825	4441	935
826	4445	930
827	4449	924
828	4455	919
829	4459	913
830	4465	908
831	4470	902
832	4475	897
833	4479	891
834	4483	885
835	4488	880
836	4493	875
837	4499	869
838	4503	864
839	4509	858
840	4516	853
841	4521	848
842	4526	843
843	4530	837
844	4536	832
845	4540	826
846	4545	821
847	4550	815
848	4555	810
849	4560	804
850	4565	799
851	4570	793
852	4574	788
853	4578	782
854	4584	777
855	4589	772
856	4595	766
857	4600	761
858	4606	756
859	4611	750
860	4616	745
861	4620	739
862	4624	734
863	4628	728
864	4633	723
865	4638	717
866	4642	712
867	4646	706
868	4651	701
869	4656	695
870	4661	690
871	4667	685
872	4671	679
873	4674	673
874	4679	668
875	4683	663
876	4689	657
877	4694	652
878	4698	646
879	4704	641
880	4709	636
881	4713	630
882	4717	625
883	4722	619
884	4726	614
885	4731	608
886	4736	603
887	4740	597
888	4745	592
889	4750	587
890	4755	581
891	4760	576
892	4765	571
893	4769	565
894	4774	560
895	4778	554
896	4783	549
897	4790	544
898	4796	538
899	4800	533
900	4805	528
901	4810	522
902	4814	517
903	4819	511
904	4823	506
905	4829	501
906	4834	495
907	4838	490
908	4842	484
909	4846	479
910	4852	474
911	4857	468
912	4862	463
913	4866	457
914	4871	452
915	4875	447
916	4879	441
917	4883	436
918	4888	430
919	4893	425
920	4898	420
921	4904	414
922	4909	409
923	4912	404
924	4917	398
925	4921	393
926	4926	387
927	4931	382
928	4936	377
929	4940	371
930	4945	366
931	4950	361
932	4955	355
933	4961	350
934	4965	345
935	4969	339
936	4973	334
937	4979	329
938	4984	323
939	4990	318
940	4996	313
941	5002	307
942	5007	302
943	5012	297
944	5016	291
945	5020	286
946	5025	281
947	5030	275
948	5035	270
949	5038	265
950	5043	259
951	5048	254
952	5052	249
953	5058	243
954	5062	238
955	5067	233
956	5070	227
957	5075	222
958	5079	217
959	5084	211
960	5090	206
961	5094	201
962	5100	195
963	5105	190
964	5110	185
965	5113	179
966	5118	174
967	5123	169
968	5128	164
969	5133	158
